State,District,Most AQI Reached,Current AQI,Major Source of Pollution,AQI_Difference,Category,District_Rank
Andhra Pradesh,Srikakulam (Area 3),142,93,Waste Burning,49,Satisfactory,3678
Andhra Pradesh,Srikakulam (Area 4),116,110,Construction Dust,6,Moderate,3302
Andhra Pradesh,Srikakulam (Area 5),281,156,Vehicle,125,Moderate,2251
Andhra Pradesh,Srikakulam (Area 6),138,136,Crop Burning,2,Moderate,2692
Andhra Pradesh,Visakhapatnam,313,40,Vehicle,273,Good,4808
Andhra Pradesh,Visakhapatnam (Area 1),277,93,Industrial Emissions,184,Satisfactory,3678
Andhra Pradesh,Visakhapatnam (Area 2),131,79,Crop Burning,52,Satisfactory,3967
Andhra Pradesh,Visakhapatnam (Area 3),320,135,Vehicle,185,Moderate,2714
Andhra Pradesh,Visakhapatnam (Area 4),186,39,Domestic Fuel,147,Good,4829
Andhra Pradesh,Visakhapatnam (Area 5),83,83,Road Dust,0,Satisfactory,3892
Andhra Pradesh,Visakhapatnam (Area 6),238,49,Crop Burning,189,Good,4614
Andhra Pradesh,Vizianagaram,292,112,Vehicle,180,Moderate,3267
Andhra Pradesh,Vizianagaram (Area 1),188,175,Construction Dust,13,Moderate,1780
Andhra Pradesh,Vizianagaram (Area 2),270,65,Domestic Fuel,205,Satisfactory,4267
Andhra Pradesh,Vizianagaram (Area 3),238,41,Construction Dust,197,Good,4789
Andhra Pradesh,Vizianagaram (Area 4),178,156,Vehicle,22,Moderate,2251
Andhra Pradesh,Vizianagaram (Area 5),221,155,Vehicle,66,Moderate,2275
Andhra Pradesh,Vizianagaram (Area 6),304,48,Road Dust,256,Good,4638
Andhra Pradesh,West Godavari,238,175,Domestic Fuel,63,Moderate,1780
Andhra Pradesh,West Godavari (Area 1),113,95,Vehicle,18,Satisfactory,3634
Andhra Pradesh,West Godavari (Area 2),261,140,Waste Burning,121,Moderate,2627
Andhra Pradesh,West Godavari (Area 3),192,189,Crop Burning,3,Moderate,1395
Andhra Pradesh,West Godavari (Area 4),300,118,Construction Dust,182,Moderate,3122
Andhra Pradesh,West Godavari (Area 5),229,79,Waste Burning,150,Satisfactory,3967
Andhra Pradesh,West Godavari (Area 6),222,104,Domestic Fuel,118,Moderate,3454
Andhra Pradesh,YSR Kadapa,266,173,Domestic Fuel,93,Moderate,1826
Andhra Pradesh,YSR Kadapa (Area 1),135,80,Crop Burning,55,Satisfactory,3948
Andhra Pradesh,YSR Kadapa (Area 2),166,155,Vehicle,11,Moderate,2275
Andhra Pradesh,YSR Kadapa (Area 3),156,84,Crop Burning,72,Satisfactory,3872
Andhra Pradesh,YSR Kadapa (Area 4),257,179,Vehicle,78,Moderate,1667
Andhra Pradesh,YSR Kadapa (Area 5),133,48,Domestic Fuel,85,Good,4638
Andhra Pradesh,YSR Kadapa (Area 6),177,145,Crop Burning,32,Moderate,2526
Arunachal Pradesh,Anjaw,290,166,Road Dust,124,Moderate,2007
Arunachal Pradesh,Anjaw (Area 1),223,83,Crop Burning,140,Satisfactory,3892
Arunachal Pradesh,Anjaw (Area 2),130,101,Vehicle,29,Moderate,3515
Arunachal Pradesh,Anjaw (Area 3),131,64,Crop Burning,67,Satisfactory,4293
Arunachal Pradesh,Anjaw (Area 4),294,121,Waste Burning,173,Moderate,3037
Arunachal Pradesh,Anjaw (Area 5),196,121,Construction Dust,75,Moderate,3037
Arunachal Pradesh,Anjaw (Area 6),121,33,Crop Burning,88,Good,4964
Arunachal Pradesh,Changlang,275,50,Waste Burning,225,Good,4596
Arunachal Pradesh,Changlang (Area 1),311,36,Waste Burning,275,Good,4893
Arunachal Pradesh,Changlang (Area 2),260,99,Crop Burning,161,Satisfactory,3553
Arunachal Pradesh,Changlang (Area 3),124,90,Road Dust,34,Satisfactory,3750
Arunachal Pradesh,Changlang (Area 4),201,159,Crop Burning,42,Moderate,2183
Arunachal Pradesh,Changlang (Area 5),277,97,Waste Burning,180,Satisfactory,3593
Arunachal Pradesh,Changlang (Area 6),222,44,Construction Dust,178,Good,4732
Arunachal Pradesh,Dibang Valley,224,140,Vehicle,84,Moderate,2627
Arunachal Pradesh,Dibang Valley (Area 1),285,81,Construction Dust,204,Satisfactory,3923
Arunachal Pradesh,Dibang Valley (Area 2),284,62,Industrial Emissions,222,Satisfactory,4343
Arunachal Pradesh,Dibang Valley (Area 3),296,186,Industrial Emissions,110,Moderate,1478
Arunachal Pradesh,Dibang Valley (Area 4),101,35,Crop Burning,66,Good,4916
Arunachal Pradesh,Dibang Valley (Area 5),317,149,Vehicle,168,Moderate,2426
Arunachal Pradesh,Dibang Valley (Area 6),196,157,Road Dust,39,Moderate,2239
Arunachal Pradesh,East Kameng,68,61,Road Dust,7,Satisfactory,4368
Arunachal Pradesh,East Kameng (Area 1),236,163,Construction Dust,73,Moderate,2075
Arunachal Pradesh,East Kameng (Area 2),292,54,Construction Dust,238,Satisfactory,4523
Arunachal Pradesh,East Kameng (Area 3),207,46,Vehicle,161,Good,4680
Arunachal Pradesh,East Kameng (Area 4),118,104,Crop Burning,14,Moderate,3454
Arunachal Pradesh,East Kameng (Area 5),162,129,Vehicle,33,Moderate,2852
Arunachal Pradesh,East Kameng (Area 6),244,93,Industrial Emissions,151,Satisfactory,3678
Arunachal Pradesh,East Siang,237,169,Industrial Emissions,68,Moderate,1925
Arunachal Pradesh,East Siang (Area 1),258,92,Road Dust,166,Satisfactory,3706
Arunachal Pradesh,East Siang (Area 2),229,190,Domestic Fuel,39,Moderate,1355
Arunachal Pradesh,East Siang (Area 3),243,181,Vehicle,62,Moderate,1609
Arunachal Pradesh,East Siang (Area 4),232,106,Domestic Fuel,126,Moderate,3413
Arunachal Pradesh,East Siang (Area 5),306,190,Vehicle,116,Moderate,1355
Arunachal Pradesh,East Siang (Area 6),277,163,Crop Burning,114,Moderate,2075
Arunachal Pradesh,Kra Daadi,179,32,Construction Dust,147,Good,4983
Arunachal Pradesh,Kra Daadi (Area 1),201,74,Construction Dust,127,Satisfactory,4064
Arunachal Pradesh,Kra Daadi (Area 2),265,148,Industrial Emissions,117,Moderate,2446
Arunachal Pradesh,Kra Daadi (Area 3),317,116,Waste Burning,201,Moderate,3173
Arunachal Pradesh,Kra Daadi (Area 4),118,53,Waste Burning,65,Satisfactory,4544
Arunachal Pradesh,Kra Daadi (Area 5),154,35,Domestic Fuel,119,Good,4916
Arunachal Pradesh,Kra Daadi (Area 6),83,61,Construction Dust,22,Satisfactory,4368
Arunachal Pradesh,Kurung Kumey,305,170,Waste Burning,135,Moderate,1898
Arunachal Pradesh,Kurung Kumey (Area 1),254,119,Construction Dust,135,Moderate,3093
Arunachal Pradesh,Kurung Kumey (Area 2),142,109,Waste Burning,33,Moderate,3338
Arunachal Pradesh,Kurung Kumey (Area 3),123,99,Domestic Fuel,24,Satisfactory,3553
Arunachal Pradesh,Kurung Kumey (Area 4),177,133,Waste Burning,44,Moderate,2758
Arunachal Pradesh,Kurung Kumey (Area 5),316,70,Vehicle,246,Satisfactory,4153
Arunachal Pradesh,Kurung Kumey (Area 6),239,48,Road Dust,191,Good,4638
Arunachal Pradesh,Lohit,201,59,Domestic Fuel,142,Satisfactory,4416
Arunachal Pradesh,Lohit (Area 1),258,155,Crop Burning,103,Moderate,2275
Arunachal Pradesh,Lohit (Area 2),210,46,Crop Burning,164,Good,4680
Arunachal Pradesh,Lohit (Area 3),303,137,Construction Dust,166,Moderate,2677
Arunachal Pradesh,Lohit (Area 4),265,141,Road Dust,124,Moderate,2609
Arunachal Pradesh,Lohit (Area 5),279,174,Waste Burning,105,Moderate,1803
Arunachal Pradesh,Lohit (Area 6),268,157,Waste Burning,111,Moderate,2239
Arunachal Pradesh,Longding,208,121,Road Dust,87,Moderate,3037
Arunachal Pradesh,Longding (Area 1),289,155,Domestic Fuel,134,Moderate,2275
Arunachal Pradesh,Longding (Area 2),305,102,Road Dust,203,Moderate,3493
Arunachal Pradesh,Longding (Area 3),287,158,Vehicle,129,Moderate,2207
Arunachal Pradesh,Longding (Area 4),216,103,Waste Burning,113,Moderate,3474
Arunachal Pradesh,Longding (Area 5),285,76,Waste Burning,209,Satisfactory,4023
Arunachal Pradesh,Longding (Area 6),69,33,Crop Burning,36,Good,4964
Arunachal Pradesh,Lower Dibang Valley,283,139,Industrial Emissions,144,Moderate,2647
Arunachal Pradesh,Lower Dibang Valley (Area 1),272,43,Vehicle,229,Good,4752
Arunachal Pradesh,Lower Dibang Valley (Area 2),91,35,Domestic Fuel,56,Good,4916
Arunachal Pradesh,Lower Dibang Valley (Area 3),238,122,Vehicle,116,Moderate,3013
Arunachal Pradesh,Lower Dibang Valley (Area 4),197,163,Domestic Fuel,34,Moderate,2075
Arunachal Pradesh,Lower Dibang Valley (Area 5),208,104,Construction Dust,104,Moderate,3454
Arunachal Pradesh,Lower Dibang Valley (Area 6),298,117,Industrial Emissions,181,Moderate,3144
Arunachal Pradesh,Lower Siang,293,155,Waste Burning,138,Moderate,2275
Arunachal Pradesh,Lower Siang (Area 1),241,106,Waste Burning,135,Moderate,3413
Arunachal Pradesh,Lower Siang (Area 2),272,169,Industrial Emissions,103,Moderate,1925
Arunachal Pradesh,Lower Siang (Area 3),83,34,Industrial Emissions,49,Good,4944
Arunachal Pradesh,Lower Siang (Area 4),183,120,Construction Dust,63,Moderate,3066
Arunachal Pradesh,Lower Siang (Area 5),320,166,Waste Burning,154,Moderate,2007
Arunachal Pradesh,Lower Siang (Area 6),162,53,Vehicle,109,Satisfactory,4544
Arunachal Pradesh,Lower Subansiri,267,153,Road Dust,114,Moderate,2329
Arunachal Pradesh,Lower Subansiri (Area 1),172,106,Industrial Emissions,66,Moderate,3413
Arunachal Pradesh,Lower Subansiri (Area 2),231,35,Crop Burning,196,Good,4916
Arunachal Pradesh,Lower Subansiri (Area 3),234,125,Crop Burning,109,Moderate,2951
Arunachal Pradesh,Lower Subansiri (Area 4),302,127,Waste Burning,175,Moderate,2909
Arunachal Pradesh,Lower Subansiri (Area 5),280,122,Industrial Emissions,158,Moderate,3013
Arunachal Pradesh,Lower Subansiri (Area 6),201,105,Industrial Emissions,96,Moderate,3436
Arunachal Pradesh,Namsai,262,120,Road Dust,142,Moderate,3066
Arunachal Pradesh,Namsai (Area 1),208,187,Crop Burning,21,Moderate,1455
Arunachal Pradesh,Namsai (Area 2),248,127,Vehicle,121,Moderate,2909
Arunachal Pradesh,Namsai (Area 3),219,124,Construction Dust,95,Moderate,2971
Arunachal Pradesh,Namsai (Area 4),181,93,Industrial Emissions,88,Satisfactory,3678
Arunachal Pradesh,Namsai (Area 5),217,180,Domestic Fuel,37,Moderate,1635
Arunachal Pradesh,Namsai (Area 6),159,112,Domestic Fuel,47,Moderate,3267
Arunachal Pradesh,Papum Pare,245,145,Vehicle,100,Moderate,2526
Arunachal Pradesh,Papum Pare (Area 1),319,147,Crop Burning,172,Moderate,2478
Arunachal Pradesh,Papum Pare (Area 2),297,188,Waste Burning,109,Moderate,1423
Arunachal Pradesh,Papum Pare (Area 3),281,134,Industrial Emissions,147,Moderate,2740
Arunachal Pradesh,Papum Pare (Area 4),106,37,Waste Burning,69,Good,4863
Arunachal Pradesh,Papum Pare (Area 5),254,148,Waste Burning,106,Moderate,2446
Arunachal Pradesh,Papum Pare (Area 6),203,53,Industrial Emissions,150,Satisfactory,4544
Arunachal Pradesh,Siang,319,115,Vehicle,204,Moderate,3206
Arunachal Pradesh,Siang (Area 1),294,186,Crop Burning,108,Moderate,1478
Arunachal Pradesh,Siang (Area 2),291,166,Crop Burning,125,Moderate,2007
Arunachal Pradesh,Siang (Area 3),220,111,Domestic Fuel,109,Moderate,3285
Arunachal Pradesh,Siang (Area 4),200,134,Vehicle,66,Moderate,2740
Arunachal Pradesh,Siang (Area 5),297,105,Domestic Fuel,192,Moderate,3436
Arunachal Pradesh,Siang (Area 6),218,149,Construction Dust,69,Moderate,2426
Arunachal Pradesh,Tawang,161,116,Industrial Emissions,45,Moderate,3173
Arunachal Pradesh,Tawang (Area 1),260,113,Vehicle,147,Moderate,3243
Arunachal Pradesh,Tawang (Area 2),317,143,Vehicle,174,Moderate,2567
Arunachal Pradesh,Tawang (Area 3),311,125,Construction Dust,186,Moderate,2951
Arunachal Pradesh,Tawang (Area 4),163,154,Construction Dust,9,Moderate,2307
Arunachal Pradesh,Tawang (Area 5),300,112,Domestic Fuel,188,Moderate,3267
Arunachal Pradesh,Tawang (Area 6),111,48,Construction Dust,63,Good,4638
Arunachal Pradesh,Tirap,221,149,Vehicle,72,Moderate,2426
Arunachal Pradesh,Tirap (Area 1),315,181,Vehicle,134,Moderate,1609
Arunachal Pradesh,Tirap (Area 2),207,121,Road Dust,86,Moderate,3037
Arunachal Pradesh,Tirap (Area 3),264,131,Road Dust,133,Moderate,2815
Arunachal Pradesh,Tirap (Area 4),290,185,Waste Burning,105,Moderate,1517
Arunachal Pradesh,Tirap (Area 5),239,155,Domestic Fuel,84,Moderate,2275
Arunachal Pradesh,Tirap (Area 6),138,94,Domestic Fuel,44,Satisfactory,3654
Arunachal Pradesh,Upper Siang,205,184,Industrial Emissions,21,Moderate,1544
Arunachal Pradesh,Upper Siang (Area 1),194,80,Road Dust,114,Satisfactory,3948
Arunachal Pradesh,Upper Siang (Area 2),247,139,Domestic Fuel,108,Moderate,2647
Arunachal Pradesh,Upper Siang (Area 3),290,76,Waste Burning,214,Satisfactory,4023
Arunachal Pradesh,Upper Siang (Area 4),252,61,Vehicle,191,Satisfactory,4368
Arunachal Pradesh,Upper Siang (Area 5),308,31,Construction Dust,277,Good,5016
Arunachal Pradesh,Upper Siang (Area 6),129,79,Domestic Fuel,50,Satisfactory,3967
Arunachal Pradesh,Upper Subansiri,251,87,Industrial Emissions,164,Satisfactory,3813
Arunachal Pradesh,Upper Subansiri (Area 1),159,134,Industrial Emissions,25,Moderate,2740
Arunachal Pradesh,Upper Subansiri (Area 2),205,103,Crop Burning,102,Moderate,3474
Arunachal Pradesh,Upper Subansiri (Area 3),70,52,Industrial Emissions,18,Satisfactory,4564
Arunachal Pradesh,Upper Subansiri (Area 4),178,44,Waste Burning,134,Good,4732
Arunachal Pradesh,Upper Subansiri (Area 5),287,93,Road Dust,194,Satisfactory,3678
Arunachal Pradesh,Upper Subansiri (Area 6),242,60,Waste Burning,182,Satisfactory,4390
Arunachal Pradesh,West Kameng,232,117,Industrial Emissions,115,Moderate,3144
Arunachal Pradesh,West Kameng (Area 1),222,55,Domestic Fuel,167,Satisfactory,4497
Arunachal Pradesh,West Kameng (Area 2),173,48,Waste Burning,125,Good,4638
Arunachal Pradesh,West Kameng (Area 3),90,60,Vehicle,30,Satisfactory,4390
Arunachal Pradesh,West Kameng (Area 4),268,133,Domestic Fuel,135,Moderate,2758
Arunachal Pradesh,West Kameng (Area 5),219,175,Construction Dust,44,Moderate,1780
Arunachal Pradesh,West Kameng (Area 6),296,180,Vehicle,116,Moderate,1635
Arunachal Pradesh,West Siang,273,56,Construction Dust,217,Satisfactory,4474
Arunachal Pradesh,West Siang (Area 1),310,184,Road Dust,126,Moderate,1544
Arunachal Pradesh,West Siang (Area 2),96,84,Industrial Emissions,12,Satisfactory,3872
Arunachal Pradesh,West Siang (Area 3),184,104,Road Dust,80,Moderate,3454
Arunachal Pradesh,West Siang (Area 4),298,178,Crop Burning,120,Moderate,1702
Arunachal Pradesh,West Siang (Area 5),271,107,Crop Burning,164,Moderate,3387
Arunachal Pradesh,West Siang (Area 6),267,45,Crop Burning,222,Good,4702
Assam,Baksa,141,109,Waste Burning,32,Moderate,3338
Assam,Baksa (Area 1),235,31,Vehicle,204,Good,5016
Assam,Baksa (Area 2),267,56,Industrial Emissions,211,Satisfactory,4474
Assam,Baksa (Area 3),132,37,Domestic Fuel,95,Good,4863
Assam,Baksa (Area 4),254,146,Crop Burning,108,Moderate,2499
Assam,Baksa (Area 5),269,161,Waste Burning,108,Moderate,2129
Assam,Baksa (Area 6),308,47,Construction Dust,261,Good,4656
Assam,Barpeta,247,108,Industrial Emissions,139,Moderate,3362
Assam,Barpeta (Area 1),113,51,Industrial Emissions,62,Satisfactory,4578
Assam,Barpeta (Area 2),103,72,Domestic Fuel,31,Satisfactory,4100
Assam,Barpeta (Area 3),307,88,Domestic Fuel,219,Satisfactory,3792
Assam,Barpeta (Area 4),293,128,Crop Burning,165,Moderate,2872
Assam,Barpeta (Area 5),145,47,Domestic Fuel,98,Good,4656
Assam,Barpeta (Area 6),221,39,Industrial Emissions,182,Good,4829
Assam,Biswanath,230,113,Crop Burning,117,Moderate,3243
Assam,Biswanath (Area 1),238,189,Crop Burning,49,Moderate,1395
Assam,Biswanath (Area 2),317,93,Crop Burning,224,Satisfactory,3678
Assam,Biswanath (Area 3),214,134,Road Dust,80,Moderate,2740
Assam,Biswanath (Area 4),70,66,Industrial Emissions,4,Satisfactory,4247
Assam,Biswanath (Area 5),215,70,Vehicle,145,Satisfactory,4153
Assam,Biswanath (Area 6),189,118,Industrial Emissions,71,Moderate,3122
Assam,Bongaigaon,303,47,Construction Dust,256,Good,4656
Assam,Bongaigaon (Area 1),219,63,Construction Dust,156,Satisfactory,4322
Assam,Bongaigaon (Area 2),144,82,Road Dust,62,Satisfactory,3904
Assam,Bongaigaon (Area 3),190,58,Crop Burning,132,Satisfactory,4431
Assam,Bongaigaon (Area 4),134,83,Industrial Emissions,51,Satisfactory,3892
Assam,Bongaigaon (Area 5),301,102,Industrial Emissions,199,Moderate,3493
Assam,Bongaigaon (Area 6),306,113,Waste Burning,193,Moderate,3243
Assam,Cachar,197,161,Road Dust,36,Moderate,2129
Assam,Cachar (Area 1),176,102,Vehicle,74,Moderate,3493
Assam,Cachar (Area 2),117,31,Vehicle,86,Good,5016
Assam,Cachar (Area 3),206,157,Vehicle,49,Moderate,2239
Assam,Cachar (Area 4),65,43,Crop Burning,22,Good,4752
Assam,Cachar (Area 5),149,95,Road Dust,54,Satisfactory,3634
Assam,Cachar (Area 6),226,34,Domestic Fuel,192,Good,4944
Assam,Charaideo,194,144,Waste Burning,50,Moderate,2550
Assam,Charaideo (Area 1),243,102,Road Dust,141,Moderate,3493
Assam,Charaideo (Area 2),237,146,Waste Burning,91,Moderate,2499
Assam,Charaideo (Area 3),285,84,Vehicle,201,Satisfactory,3872
Assam,Charaideo (Area 4),164,112,Crop Burning,52,Moderate,3267
Assam,Charaideo (Area 5),169,118,Domestic Fuel,51,Moderate,3122
Assam,Charaideo (Area 6),200,70,Road Dust,130,Satisfactory,4153
Assam,Chirang,271,102,Domestic Fuel,169,Moderate,3493
Assam,Chirang (Area 1),194,134,Road Dust,60,Moderate,2740
Assam,Chirang (Area 2),155,154,Waste Burning,1,Moderate,2307
Assam,Chirang (Area 3),185,98,Construction Dust,87,Satisfactory,3574
Assam,Chirang (Area 4),290,47,Waste Burning,243,Good,4656
Assam,Chirang (Area 5),148,86,Industrial Emissions,62,Satisfactory,3830
Assam,Chirang (Area 6),297,117,Vehicle,180,Moderate,3144
Assam,Darrang,302,164,Industrial Emissions,138,Moderate,2049
Assam,Darrang (Area 1),216,71,Waste Burning,145,Satisfactory,4129
Assam,Darrang (Area 2),169,109,Road Dust,60,Moderate,3338
Assam,Darrang (Area 3),278,107,Crop Burning,171,Moderate,3387
Assam,Darrang (Area 4),132,66,Waste Burning,66,Satisfactory,4247
Assam,Darrang (Area 5),144,53,Domestic Fuel,91,Satisfactory,4544
Assam,Darrang (Area 6),270,141,Crop Burning,129,Moderate,2609
Assam,Dhemaji,200,71,Road Dust,129,Satisfactory,4129
Assam,Dhemaji (Area 1),283,141,Waste Burning,142,Moderate,2609
Assam,Dhemaji (Area 2),271,163,Road Dust,108,Moderate,2075
Assam,Dhemaji (Area 3),261,151,Construction Dust,110,Moderate,2376
Assam,Dhemaji (Area 4),175,161,Domestic Fuel,14,Moderate,2129
Assam,Dhemaji (Area 5),312,189,Construction Dust,123,Moderate,1395
Assam,Dhemaji (Area 6),89,31,Waste Burning,58,Good,5016
Assam,Dhubri,306,128,Domestic Fuel,178,Moderate,2872
Assam,Dhubri (Area 1),201,55,Crop Burning,146,Satisfactory,4497
Assam,Dhubri (Area 2),185,114,Construction Dust,71,Moderate,3226
Assam,Dhubri (Area 3),243,178,Industrial Emissions,65,Moderate,1702
Assam,Dhubri (Area 4),292,120,Domestic Fuel,172,Moderate,3066
Assam,Dhubri (Area 5),85,81,Road Dust,4,Satisfactory,3923
Assam,Dhubri (Area 6),291,188,Industrial Emissions,103,Moderate,1423
Assam,Dibrugarh,81,63,Domestic Fuel,18,Satisfactory,4322
Assam,Dibrugarh (Area 1),215,128,Construction Dust,87,Moderate,2872
Assam,Dibrugarh (Area 2),83,67,Industrial Emissions,16,Satisfactory,4225
Assam,Dibrugarh (Area 3),267,179,Industrial Emissions,88,Moderate,1667
Assam,Dibrugarh (Area 4),64,45,Industrial Emissions,19,Good,4702
Assam,Dibrugarh (Area 5),228,158,Industrial Emissions,70,Moderate,2207
Assam,Dibrugarh (Area 6),294,145,Vehicle,149,Moderate,2526
Assam,Dima Hasao,156,122,Domestic Fuel,34,Moderate,3013
Assam,Dima Hasao (Area 1),202,162,Vehicle,40,Moderate,2106
Assam,Dima Hasao (Area 2),278,35,Construction Dust,243,Good,4916
Assam,Dima Hasao (Area 3),87,73,Domestic Fuel,14,Satisfactory,4083
Assam,Dima Hasao (Area 4),217,41,Construction Dust,176,Good,4789
Assam,Dima Hasao (Area 5),253,133,Vehicle,120,Moderate,2758
Assam,Dima Hasao (Area 6),247,158,Vehicle,89,Moderate,2207
Assam,Goalpara,268,169,Vehicle,99,Moderate,1925
Assam,Goalpara (Area 1),231,189,Road Dust,42,Moderate,1395
Assam,Goalpara (Area 2),58,45,Vehicle,13,Good,4702
Assam,Goalpara (Area 3),87,48,Waste Burning,39,Good,4638
Assam,Goalpara (Area 4),315,169,Construction Dust,146,Moderate,1925
Assam,Goalpara (Area 5),155,96,Industrial Emissions,59,Satisfactory,3616
Assam,Goalpara (Area 6),295,31,Industrial Emissions,264,Good,5016
Assam,Golaghat,315,94,Industrial Emissions,221,Satisfactory,3654
Assam,Golaghat (Area 1),256,121,Domestic Fuel,135,Moderate,3037
Assam,Golaghat (Area 2),316,64,Crop Burning,252,Satisfactory,4293
Assam,Golaghat (Area 3),210,89,Industrial Emissions,121,Satisfactory,3772
Assam,Golaghat (Area 4),184,163,Crop Burning,21,Moderate,2075
Assam,Golaghat (Area 5),175,140,Waste Burning,35,Moderate,2627
Assam,Golaghat (Area 6),287,54,Crop Burning,233,Satisfactory,4523
Assam,Hailakandi,218,91,Waste Burning,127,Satisfactory,3726
Assam,Hailakandi (Area 1),236,120,Industrial Emissions,116,Moderate,3066
Assam,Hailakandi (Area 2),224,76,Domestic Fuel,148,Satisfactory,4023
